Convention,Day,Text
2020 RNC,Day 1,WE CHOSE A DIFFERENT PATH.
2020 RNC,Day 1,A MAN WHO WAS NOT A POLITICIAN.
2020 RNC,Day 1,A MAN WHO CARES.
2020 RNC,Day 1,A MAN WHO LOVES AMERICA.
2020 RNC,Day 1,AND ALL AMERICANS.
2020 RNC,Day 1,A MAN WHO WORKS -- WORKS
2020 RNC,Day 1,TIRELESSLY FOR YOU.
2020 RNC,Day 1,EVEN TONIGHT DURING THIS
2020 RNC,Day 1,NOMINATION.
2020 RNC,Day 1,"THE RESULTS, JOBS WERE CREATED,"
2020 RNC,Day 1,EMBRACING THE UNDENIABLE
2020 RNC,Day 1,BRIGHTNESS OF DIVERSITY.
2020 RNC,Day 1,PROSPERITY.
2020 RNC,Day 1,SAFE COMMUNITIES.
2020 RNC,Day 1,"PROTECTING AND SERVING, CARING"
2020 RNC,Day 1,FOR ONE ANOTHER.
2020 RNC,Day 1,STILL POLITICIANS SPUN THEIR
2020 RNC,Day 1,DECEPTIONS AND OBSTRUCTED
2020 RNC,Day 1,"PROGRESS, FANNING THE FLAMES OF"
2020 RNC,Day 1,VIOLENCE.
2020 RNC,Day 1,WE ALL KNOW IT'S EASY TO
2020 RNC,Day 1,CRITICIZE BUT IT TAKES A TRUE
2020 RNC,Day 1,LED LEADER TO SOLVE PROBLEMS.
2020 RNC,Day 1,COVID-19.
2020 RNC,Day 1,WHILE OTHERS CRITICIZED WITHOUT
2020 RNC,Day 1,"SOLUTIONS, PRESIDENT TRUMP'S"
2020 RNC,Day 1,SWIFT ACTION SAVED LIVES.
2020 RNC,Day 1,AND IF LEADING DEMOCRATS WANT TO
2020 RNC,Day 1,"KEEP BUSINESSES CLOSED DOWN, OUR"
2020 RNC,Day 1,PRESIDENT IS LEADING THE WAY FAR
2020 RNC,Day 1,FULL ECONOMIC RECOVERY.
2020 RNC,Day 1,WE ARE AMERICA.
2020 RNC,Day 1,DESPITE UNPREDICTABLE EVENTS WE
2020 RNC,Day 1,AS AMERICANS WORK TOGETHER TO
2020 RNC,Day 1,"OVERCOME CHALLENGES, WRITE OUR"
2020 RNC,Day 1,OWN STORIES.
2020 RNC,Day 1,THE LEGENDS FOR OUR POSTERITY.
2020 RNC,Day 1,AMERICA.
2020 RNC,Day 1,LAND OF PROMISE.
2020 RNC,Day 1,LAND OF OPPORTUNITY.
2020 RNC,Day 1,LAND OF HEROES.
2020 RNC,Day 1,LAND OF GREATNESS.
2020 RNC,Day 1,JOIN US OVER THE NEXT FOUR
2020 RNC,Day 1,NIGHTS AS WE WRITE THE NEXT
2020 RNC,Day 1,CHAPTER OF OUR JOURNEY AND SHARE
2020 RNC,Day 1,OUR VISION AS THE GREATEST
2020 RNC,Day 1,COUNTRY WITH THE GREATEST
2020 RNC,Day 1,CITIZENS THAT A TAIN THE
2020 RNC,Day 1,GREATEST ACHIEVEMENTS.
2020 RNC,Day 1,">> FROM WASHINGTON, D.C.,"
2020 RNC,Day 1,WELCOME TO THE 2020 REPUBLICAN
2020 RNC,Day 1,NATIONAL CONVENTION.
2020 RNC,Day 1,"TONIGHT, CELEBRATING AMERICA AS"
2020 RNC,Day 1,THE LAND OF PROMISE.
2020 RNC,Day 1,>> LET US PRAY.
2020 RNC,Day 1,AND PRAY WE MUST.
2020 RNC,Day 1,AS GRATEFUL CITIZENS OF A
2020 RNC,Day 1,COUNTRY WE BOLDLY CLAIM TO BE
2020 RNC,Day 1,ONE NATION UNDER GOD.
2020 RNC,Day 1,PRAY WE MUST.
2020 RNC,Day 1,PRAISING THE LORD FOR A COUNTRY
2020 RNC,Day 1,WHERE FREEDOM OF RELIGION IS SO
2020 RNC,Day 1,"CHERISHED, WHERE BOTH"
2020 RNC,Day 1,REPUBLICANS AN DEMOCRATS BEGIN
2020 RNC,Day 1,"THEIR CONVENTIONS, HEADS BOWED"
2020 RNC,Day 1,IN PRAYER.
2020 RNC,Day 1,"PRAY WE MUST, CONSCIOUS OF THOSE"
2020 RNC,Day 1,SUFFERING FROM COVID AND THOSE
2020 RNC,Day 1,WEARY FRONT-LINERS WHO CARE FOR
2020 RNC,Day 1,THEM AND ALL OF US.
2020 RNC,Day 1,PRAY WE MUST THAT ALL LIVES MAY
2020 RNC,Day 1,BE PROTECTED AND RESPECTED.
2020 RNC,Day 1,MAY OUR TROUBLED CITIES AND THE
2020 RNC,Day 1,"POLICE WHO GUARD THEM, INTENSE"
2020 RNC,Day 1,WORLD SITUATIONS WHERE OUR MEN
2020 RNC,Day 1,AND WOMEN IN UNIFORM KEEP THE
2020 RNC,Day 1,"PEACE, FOR THE INNOCENT LIFE OF"
2020 RNC,Day 1,"THE BABY IN THE WOMB, FOR OUR"
2020 RNC,Day 1,ELDERS IN NURSING CARE AND
2020 RNC,Day 1,HOSPICE.
2020 RNC,Day 1,FOR OUR IMMIGRANTS AND REFUGEES.
2020 RNC,Day 1,THOSE LIVES THREATENED BY
2020 RNC,Day 1,RELIGIOUS PERSECUTION THROUGHOUT
2020 RNC,Day 1,"THE WORLD ARE A -- OR BY PLAGUE,"
2020 RNC,Day 1,"HUNGER, HUMAN TRAFFICKING, DRUGS"
2020 RNC,Day 1,OR WAR.
2020 RNC,Day 1,"PRAY WE MUST, IN THANKSGIVING,"
2020 RNC,Day 1,"IN THANKSGIVING, DEAR GOD, FOR"
2020 RNC,Day 1,"DEMOCRACY, AS WE ASK YOUR HAND,"
2020 RNC,Day 1,"ALMIGHTY FATHER, ON THIS"
2020 RNC,Day 1,CONVENTION AND THE NOMINEES OF
2020 RNC,Day 1,BOTH PARTIES AND ITS WISDOM UPON
2020 RNC,Day 1,AN ELECTORATE SO EAGER TO
2020 RNC,Day 1,PERFORM ITS DUTY OF FAITHFUL
2020 RNC,Day 1,CITIZENSHIP.
2020 RNC,Day 1,PRAY WE DO.
2020 RNC,Day 1,FOR WE DARE CLAIM IN GOD WE
2020 RNC,Day 1,TRUST.
2020 RNC,Day 1,AMEN.
2020 RNC,Day 1,>> I PLEDGE ALLEGIANCE TO THE
2020 RNC,Day 1,FLAG OF THE UNITED STATES OF
2020 RNC,Day 1,AMERICA AND TO THE REPUBLIC FOR
2020 RNC,Day 1,"WHICH IT STANDS, ONE NATION,"
2020 RNC,Day 1,"UNDER GOD, INDIVISIBLE, WITH"
2020 RNC,Day 1,LIBERTY AND JUSTICE FOR ALL.
2020 RNC,Day 1,>> GOOD EVENING.
2020 RNC,Day 1,IT IS AN HONOR TO BE WITH YOU
2020 RNC,Day 1,TONIGHT.
2020 RNC,Day 1,MY NAME IS CHARLIE KIRK.
2020 RNC,Day 1,I RUN THE LARGEST PRO-AMERICAN
2020 RNC,Day 1,STUDENT ORGANIZATION IN THE
2020 RNC,Day 1,"COUNTRY, TURNING POINT U.S.A.,"
2020 RNC,Day 1,FIGHTING FOR THE FUTURE OF OUR
2020 RNC,Day 1,REPUBLIC.
2020 RNC,Day 1,SPEAKING TO YOU IN MY PERSONAL
2020 RNC,Day 1,CAPACITY TONIGHT AS A
2020 RNC,Day 1,"26-YEAR-OLD, I SEE THE ANGST OF"
2020 RNC,Day 1,YOUNG PEOPLE AS WELL AS THE
2020 RNC,Day 1,CHALLENGES FACING NEW PARENTS.
2020 RNC,Day 1,"I AM HERE TONIGHT TO TELL YOU,"
2020 RNC,Day 1,TO WARN YOU THAT THIS ELECTION
2020 RNC,Day 1,IS A DECISION BETWEEN PRESERVING
2020 RNC,Day 1,AMERICA AS WE KNOW IT AND
2020 RNC,Day 1,ELIMINATING EVERYTHING THAT WE
2020 RNC,Day 1,LOVE.
2020 RNC,Day 1,"FOR DECADES, RULING CLASS"
2020 RNC,Day 1,LEADERS IN BOTH PARTIES SOLD OUT
2020 RNC,Day 1,OUR FUTURE.
2020 RNC,Day 1,TO CHINA.
2020 RNC,Day 1,20 FACELESS CORPORATIONS.
2020 RNC,Day 1,AND TO SELF-SERVING LOBBYISTS.
2020 RNC,Day 1,THEY DID IT TO PRESERVE THEIR
2020 RNC,Day 1,OWN POWER AND ENRICH THEMSELVES.
2020 RNC,Day 1,ALL WHILE RIGGING THE SYSTEM TO
2020 RNC,Day 1,"HOLD DOWN THE GOOD, DECENT"
2020 RNC,Day 1,"MIDDLE CLASS PATRIOTS, STRIVING"
2020 RNC,Day 1,TO BUILD A FAMILY AND PURSUE A
2020 RNC,Day 1,DECENT LIFE.
2020 RNC,Day 1,ALL OF THIS CHANGED DRAMATICALLY
2020 RNC,Day 1,IN 2015 WHEN A BILLIONAIRE NAMED
2020 RNC,Day 1,DONALD TRUMP BUT PUT HIS OWN
2020 RNC,Day 1,LIFE AND LUXURY ON THE LINE.
2020 RNC,Day 1,FROM THAT MOMENT HE CAME DOWN
2020 RNC,Day 1,"THAT FAMOUS ESCALATOR, HE"
2020 RNC,Day 1,STARTED A MOVEMENT TO RECLAIM
2020 RNC,Day 1,OUR GOVERNMENT FROM THE ROTTEN
2020 RNC,Day 1,CARTEL OF INSIDERS THAT HAVE
2020 RNC,Day 1,BEEN DESTROYING OUR COUNTRY.
2020 RNC,Day 1,WE MAY NOT HAVE REALIZED IT AT
2020 RNC,Day 1,THE TIME BUT TRUMP IS THE
2020 RNC,Day 1,BODYGUARD OF WESTERN
2020 RNC,Day 1,CIVILIZATION.
2020 RNC,Day 1,TRUMP WAS ELECTED TO PROTECT OUR
2020 RNC,Day 1,FAMILIES FROM THE VENGEFUL MOB
2020 RNC,Day 1,THAT SEEKS TO DESTROY OUR WAY OF
2020 RNC,Day 1,"LIFE, OUR NEIGHBORHOODS,"
2020 RNC,Day 1,"SCHOOLS, CHURCHES, AND VALUES."
2020 RNC,Day 1,PRESIDENT TRUMP WAS ELECTED TO
2020 RNC,Day 1,DEFEND THE AMERICAN WAY OF LIFE.
2020 RNC,Day 1,THE AMERICAN WAY OF LIFE MEANS
2020 RNC,Day 1,YOU FOLLOW THE LAW.
2020 RNC,Day 1,YOU WORK HARD.
2020 RNC,Day 1,YOU HONOR GOD.
2020 RNC,Day 1,YOU RAISE YOUR KIDS WITH STRONG
2020 RNC,Day 1,VALUES.
2020 RNC,Day 1,AND YOU WORK TO CREATE A CIVIL
2020 RNC,Day 1,SOCIETY.
2020 RNC,Day 1,THE AMERICAN WAY OF LIFE MEANS
2020 RNC,Day 1,YOU SPEAK YOUR MIND WITHOUT
2020 RNC,Day 1,RETRIBUTION.
2020 RNC,Day 1,WITHOUT BEING KICKED OFF SOCIAL
2020 RNC,Day 1,MEDIA BY A SELF-RIGHTEOUS CENSOR
2020 RNC,Day 1,IN SILICON VALLEY.
2020 RNC,Day 1,IT MEANS YOU CAN FREELY PRACTICE
2020 RNC,Day 1,YOUR RELIGION AND THAT CHURCH IS
2020 RNC,Day 1,MORE ESSENTIAL THAN A CASINO.
2020 RNC,Day 1,IT MEANS THAT WE JUDGE PEOPLE ON
2020 RNC,Day 1,THEIR ACTIONS NOT ON THEIR
2020 RNC,Day 1,IMMUTABLE CHARACTERISTICS.
2020 RNC,Day 1,THE AMERICAN WAY OF LIFE IS
2020 RNC,Day 1,BEING DISMANTLED BY --
2020 RNC,Day 1,DISMANTLED BY A GROUP OF
2020 RNC,Day 1,"DECEITFUL, BITTER, VENGEFUL"
2020 RNC,Day 1,ACTIVISTS WHO HAVE NEVER BUILT
2020 RNC,Day 1,ANYTHING IN THEIR LIVES.
2020 RNC,Day 1,THEY HAVE US LOCKING UP PASS
2020 RNC,Day 1,TORS WHILE RELEASING VIOLENT
2020 RNC,Day 1,CRIMINALS FROM PRISON.
2020 RNC,Day 1,WE ARE KIBBLINGING DOCTORS OFF
2020 RNC,Day 1,SOCIAL MEDIA YET PROMOTING
2020 RNC,Day 1,CHINESE STATE FUNDED PROPAGANDA
2020 RNC,Day 1,ON MAJOR TECH PLATFORMS.
2020 RNC,Day 1,THIS ELECTION IS THE MOST
2020 RNC,Day 1,CRITICAL SINCE 1860 WHEN A MAN
2020 RNC,Day 1,NAMED LINCOLN WAS ELECTED TO
2020 RNC,Day 1,PRESERVE THE UNION FROM
2020 RNC,Day 1,DISINTEGRATION.
2020 RNC,Day 1,THIS ELECTION IS NOT JUST THE
2020 RNC,Day 1,"MOST IMPORTANT OF OUR LIFETIME,"
2020 RNC,Day 1,IT IS THE MOST IMPORTANT SINCE
2020 RNC,Day 1,THE PRESERVATION OF THE REPUBLIC
2020 RNC,Day 1,IN 1865.
2020 RNC,Day 1,BY RE-ELECTING TRUMP WE WILL
2020 RNC,Day 1,ENSURE THAT OUR KIDS ARE RAISED
2020 RNC,Day 1,TO LOVE OUR COUNTRY AND RESPECT
2020 RNC,Day 1,ITS FOUNDING FATHERS.
2020 RNC,Day 1,NOT TAUGHT TO HATE OR BE ASHAMED
2020 RNC,Day 1,OF THEM.
2020 RNC,Day 1,WE WILL BUILD MONUMENTS TO
2020 RNC,Day 1,HEROES NOT BURN DOWN OUR CITIES.
2020 RNC,Day 1,WE WILL BE A COUNTRY THAT RISES
2020 RNC,Day 1,TO HIGHER HEIGHTS THAT DREAMS
2020 RNC,Day 1,"BIG, THINKS BIG, AND ACHIEVES"
2020 RNC,Day 1,THE IMPOSSIBLE.
2020 RNC,Day 1,A COUNTRY THAT VALUES OUR
2020 RNC,Day 1,REMARKABLE JOURNEY.
2020 RNC,Day 1,THE COMPLEXITIES OF OUR PAST BUT
2020 RNC,Day 1,CLEARLY COMMUNICATES TO THE NEXT
2020 RNC,Day 1,GENERATION THAT WE HAVE TO BE
2020 RNC,Day 1,"GRATEFUL, NOT ANGRY THAT WE LIVE"
2020 RNC,Day 1,IN THE UNITED STATES.
2020 RNC,Day 1,WE WILL BE A COUNTRY THAT MAKES
2020 RNC,Day 1,"IT EASIER TO HAVE MANY CHILDREN,"
2020 RNC,Day 1,LIVE QUIET AND PEACEABLE LIVES
2020 RNC,Day 1,AND WORSHIP YOUR GOD WITHOUT A
2020 RNC,Day 1,TYRANT GETTING IN THE WAY.
2020 RNC,Day 1,WE WILL BE A COUNTRY THAT HAS
2020 RNC,Day 1,ITS BEST 100 YEARS AHEAD.
2020 RNC,Day 1,WE WILL BUILD A FUTURE WHERE
2020 RNC,Day 1,AMERICA REMAINS THE GREATEST
2020 RNC,Day 1,COUNTRY EVER TO EXIST IN THE
2020 RNC,Day 1,HISTORY OF THE WORLD.
2020 RNC,Day 1,ALL OF THAT IS WITHIN OUR GRASP
2020 RNC,Day 1,IF WE SECURE FOUR MORE YEARS FOR
2020 RNC,Day 1,THE DEFENDER OF WESTERN
2020 RNC,Day 1,"CIVILIZATION, OUR CHAMPION, MY"
2020 RNC,Day 1,"FRIEND, THE 45TH PRESIDENT OF"
2020 RNC,Day 1,"THE UNITED STATES, PRESIDENT"
2020 RNC,Day 1,DONALD J. TRUMP.
2020 RNC,Day 1,>> I'M A VETERAN CALIFORNIA
2020 RNC,Day 1,PUBLIC SCHOOL EDUCATOR.
2020 RNC,Day 1,I'M HERE TO GIVE VOICE TO
2020 RNC,Day 1,AMERICA'S GREAT TEACHERS BECAUSE
2020 RNC,Day 1,OUR VOICES HAVE BEEN SILENCED
2020 RNC,Day 1,FOR DECADES.
2020 RNC,Day 1,BY UNIONS WHO CLAIM TO REPRESENT
2020 RNC,Day 1,US.
2020 RNC,Day 1,THEY DO NOT.
2020 RNC,Day 1,WHEN OTHER DEDICATED TEACHERS
2020 RNC,Day 1,"AND I SERVED WITHIN THE UNION,"
2020 RNC,Day 1,WE SPOKE UP IN DEFENSE OF
2020 RNC,Day 1,"CHILDREN, PARENTS, SCIENTIFIC"
2020 RNC,Day 1,"FACTS, AND AMERICAN VALUES."
2020 RNC,Day 1,FOR OUR TROUBLES WE WERE
2020 RNC,Day 1,"BRUTALIZED, BOOED OFF THE"
2020 RNC,Day 1,"PLATFORM, BARRED FROM"
2020 RNC,Day 1,"COMMITTEES, SHOUTED DOWN, AND"
2020 RNC,Day 1,EVEN SPIT UPON BY UNION LEADERS.
2020 RNC,Day 1,THIS IS HOW UNIONS TREAT DEVOTED
2020 RNC,Day 1,TEACHERS.
2020 RNC,Day 1,BUT WHAT'S EVEN WORSE IS HOW
2020 RNC,Day 1,THEIR AGENDA OF CONTROL DECEIVED
2020 RNC,Day 1,AMERICANS AND OUR CHILDREN.
2020 RNC,Day 1,THEY'VE INTENTIONALLY REWRITTEN
2020 RNC,Day 1,AMERICAN HISTORY TO PERPETUATE
2020 RNC,Day 1,"DIVISION, PERVERT THE MEMORIES"
2020 RNC,Day 1,"OF OUR AMERICAN FOUNDERS, AND"
2020 RNC,Day 1,DISPARAGE OUR JUDEO CHRISTIAN
2020 RNC,Day 1,VIRTUES.
2020 RNC,Day 1,THEIR LENIENT DISCIPLINE
2020 RNC,Day 1,POLICIES MORPHED OUR SCHOOL INTO
2020 RNC,Day 1,WAR ZONES AN THEY BACKED
2020 RNC,Day 1,DEFUNDING POLICE AND ABOLISHING
2020 RNC,Day 1,I.C.E.
2020 RNC,Day 1,UNIONS COLLECT BILLIONS ANNUALLY
2020 RNC,Day 1,FROM UNSUSPECTING TEACHERS AND
2020 RNC,Day 1,PUSH THIS RADICAL AGENDA INTO
2020 RNC,Day 1,"OUR CLASSROOMS, AGAINST OUR"
2020 RNC,Day 1,WILL.
2020 RNC,Day 1,WHY?
2020 RNC,Day 1,THE ONLY WAY TO KEEP A FREE
2020 RNC,Day 1,REPUBLIC IS WITH A WELL-EDUCATED
2020 RNC,Day 1,MORAL CITIZENRY THAT CAN
2020 RNC,Day 1,SELF-GOVERN.
2020 RNC,Day 1,UNIONS ARE SUBVERTING OUR
2020 RNC,Day 1,REPUBLIC.
2020 RNC,Day 1,SO THEY UNDERMINE EDUCATIONAL
2020 RNC,Day 1,"EXCELLENCE, MORALITY, LAW, AND"
2020 RNC,Day 1,ORDER.
2020 RNC,Day 1,THAT'S WHY THEY SPEND HUNDREDS
2020 RNC,Day 1,OF MILLIONS ANNUALLY TO DEFEAT
2020 RNC,Day 1,CHARTER SCHOOLS AND SCHOOL
2020 RNC,Day 1,"CHOICE, TRAPPING SO MANY"
2020 RNC,Day 1,PRECIOUS LOW-INCOME CHILDREN IN
2020 RNC,Day 1,"DANGEROUS, CORRUPT, AND"
2020 RNC,Day 1,LOW-PERFORMING SCHOOLS.
2020 RNC,Day 1,TO FIGHT BACK ON BEHALF OF
2020 RNC,Day 1,"CHILDREN AND AMERICA, BRAVE"
2020 RNC,Day 1,TEACHERS BROUGHT A LAWSUIT
2020 RNC,Day 1,AGAINST UNIONS.
2020 RNC,Day 1,AND DO YOU KNOW WHO INTERVENED
2020 RNC,Day 1,AGAINST US?
2020 RNC,Day 1,THE OBAMA-BIDEN ADMINISTRATION
2020 RNC,Day 1,AND CALIFORNIA ATTORNEY GENERAL
2020 RNC,Day 1,KAMALA HARRIS.
2020 RNC,Day 1,THEY ARGUED AGAINST US AT THE
2020 RNC,Day 1,U.S. SUPREME COURT.
2020 RNC,Day 1,THEIR COMRADES LABELED US SPAWNS
2020 RNC,Day 1,OF SATAN AND SLANDERED US IN
2020 RNC,Day 1,MAINSTREAM MEDIA.
2020 RNC,Day 1,"NO MATTER THEIR ABUSE, WE'LL"
2020 RNC,Day 1,KEEP FIGHTING FOR THE COUNTRY
2020 RNC,Day 1,AND CHILDREN WE LOVE.
2020 RNC,Day 1,JUST LIKE PRESIDENT TRUMP.
2020 RNC,Day 1,HE IS BREAKING THE UNION'S GROUP
2020 RNC,Day 1,ON OUR SCHOOLS.
2020 RNC,Day 1,THAT'S WHY UNIONS HAVE TRIED TO
2020 RNC,Day 1,DESTROY HIM SINCE THE DAY HE WAS
2020 RNC,Day 1,ELECTED.
2020 RNC,Day 1,BUT PRESIDENT TRUMP ISN'T AFRAID
2020 RNC,Day 1,TO FIGHT FOR WHAT'S RIGHT.
2020 RNC,Day 1,HE WON'T BACK DOWN.
2020 RNC,Day 1,HIS COURAGE GIVES GREAT TEACHERS
2020 RNC,Day 1,RENEWED HOPE.
2020 RNC,Day 1,HE'S EVEN PROPOSED EDUCATION
2020 RNC,Day 1,FREEDOM SCHOLARSHIPS TO RETURN
2020 RNC,Day 1,"CONTROL TO PARENTS, PROTECT"
2020 RNC,Day 1,RELIGIOUS LIBERTIES AND EMPOWER
2020 RNC,Day 1,"KIDS TO ESCAPE DANGEROUS,"
2020 RNC,Day 1,LOW-PERFORMING SCHOOLS.
2020 RNC,Day 1,THE REPUBLICAN PLATFORM SUPPORTS
2020 RNC,Day 1,EDUCATIONAL FREEDOM.
2020 RNC,Day 1,THE DEMOCRAT PARTY DOES NOT.
2020 RNC,Day 1,DEMOCRATS STAND WITH DECEPTIVE
2020 RNC,Day 1,TEACHERS UNIONS WHO PICK ON
2020 RNC,Day 1,LOVING TEACHERS AND LITTLE KIDS.
2020 RNC,Day 1,PRESIDENT TRUMP STANDS WITH
2020 RNC,Day 1,"AMERICA'S FAMILY, GREAT TEACHERS"
2020 RNC,Day 1,"AND MOST IMPORTANTLY, OUR"
2020 RNC,Day 1,CHILDREN.
2020 RNC,Day 1,"SO AMERICA'S GREAT TEACHERS,"
2020 RNC,Day 1,LET'S STAND WITH PRESIDENT TRUMP
2020 RNC,Day 1,IN PROTECTION OF THE KIDS AND
2020 RNC,Day 1,COUNTRY WE LOVE.
2020 RNC,Day 1,_
2020 RNC,Day 1,>> I AM SO GRATEFUL TO SPEAK
2020 RNC,Day 1,WITH YOU TODAY.
2020 RNC,Day 1,"MY NAME IS TANYA, I'M FROM"
2020 RNC,Day 1,MONTANA WHERE I LIVE WITH MY
2020 RNC,Day 1,"HUSBAND, MY HERO, A MARINE AND"
2020 RNC,Day 1,RETIRED POLICE OFFICER.
2020 RNC,Day 1,MY HUSBAND AND I OWN MOUNTAIN
2020 RNC,Day 1,MUDD ESPRESS.
2020 RNC,Day 1,SO WE ARE NOD OWNED BY A
2020 RNC,Day 1,MULTINATIONAL GROUP.
2020 RNC,Day 1,OUR WEALTH ISN'T MEASURED BY THE
2020 RNC,Day 1,STOCK MARKET BUT BY THE PEOPLE
2020 RNC,Day 1,WE SEE AT CHURCH AND AT JUJITSU
2020 RNC,Day 1,WITH OUR SON.
2020 RNC,Day 1,MOUNTAIN MUDD ESPRESS SEW IS THE
2020 RNC,Day 1,AMERICAN STORY.
2020 RNC,Day 1,FOR MILLIONS OF HARD WORKING MEN
2020 RNC,Day 1,AND WOMEN BUILDING THEIR
2020 RNC,Day 1,AMERICAN DREAM EVERY DAY.
2020 RNC,Day 1,"A FEW MONTHS AGO, LIKE SO MANY"
2020 RNC,Day 1,"BUSINESSES, WE DWT THE CRUSHING"
2020 RNC,Day 1,NEWS A LARGE EVENT WE WERE
2020 RNC,Day 1,SERVING WAS CANCELED BUZZ OF THE
2020 RNC,Day 1,VIRUS.
2020 RNC,Day 1,OUR BUSINESS WAS ON THE BRINK.
2020 RNC,Day 1,THREATENED TO BE SHUT DOWN FROM
2020 RNC,Day 1,LESSES THAT WERE NOT OUR FAULT.
2020 RNC,Day 1,I WAS SCARED.
2020 RNC,Day 1,"I THOUGHT OF OUR 50 EMPLOYEES,"
2020 RNC,Day 1,"THE MOUNTAIN MUDD FAMILY, AND"
2020 RNC,Day 1,"WHEN I THOUGHT OF THEIR JOBS, I"
2020 RNC,Day 1,"THOUGHT OF THEIR RENT BEING DUE,"
2020 RNC,Day 1,"THEIR KIDS, AND I FELT"
2020 RNC,Day 1,PERSONALLY RESPONSIBLE.
2020 RNC,Day 1,I'M NOT TOO PROUD TO ADMIT THAT
2020 RNC,Day 1,"I FELL ON MY KNEES AND PRAYED,"
2020 RNC,Day 1,"LORD, WHAT DO I DO?"
2020 RNC,Day 1,HIS WORDS RANG CLEAR.
2020 RNC,Day 1,KEEP ON WORKING.
2020 RNC,Day 1,IT WILL BE OK.
2020 RNC,Day 1,"I HAD FAITH AND LET ME TELL YOU,"
2020 RNC,Day 1,YOU HAVE TO HAVE FAITH WHEN YOUR
2020 RNC,Day 1,HUSBAND IS A MARINE AND A POLICE
2020 RNC,Day 1,OFFICER WHO WAS SHOT AT ON THE
2020 RNC,Day 1,JOB.
2020 RNC,Day 1,"WHEN YOU RUN A BUSINESS, A"
2020 RNC,Day 1,LITTLE FAITH GOS A LONG WAY.
2020 RNC,Day 1,"FAITH IN JESUS, AND FAITH IN"
2020 RNC,Day 1,AMERICA.
2020 RNC,Day 1,BUT I'M WORRIED WE HAVE A
