"Title","Date","Location","Price","Bedrooms","Link","Zipcode"
"3 br apt available Hasa program","Dec 27"," (Bronx Ny)","$2300","character(0)","https://newyork.craigslist.org/brx/abo/d/bronx-3-br-apt-available-hasa-program/6780957373.html","10457"
"NEWLY RENOVATED 1BR APARTMENT WITH NEW APPLIANCES","Dec 27","character(0)","$1450","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-newly-renovated-1br-apartment/6779474389.html","10457"
"GORGEOUS 1BR SPACIOUS NEW APARTMENT","Dec 27","character(0)","$1450","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-gorgeous-1br-spacious-new/6770362734.html","10457"
"Large Sunny 3Br","Dec 26"," (Near Grand Concourse)","$2100","
                    3br -
                    1200ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-large-sunny-3br/6773485403.html","10457"
"$1525 GORGEOUS, 1 BEDROOM - HUGE APARTMENT","Dec 26"," (BRONX)","$1525","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/1525-gorgeous-1-bedroom-huge-apartment/6780664004.html","10457"
"💼NEAR SCHOOLS AND HOSPITALS------1BR APARTMENT💼","Dec 26","character(0)","$1450","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-near-schools-and-hospitals-1br/6777363496.html","10457"
"GORGEOUS TWO BEDROOMS APT/ NEAR 4-B-D TRAIN","Dec 26"," (Anthony Ave)","$1750","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-gorgeous-two-bedrooms-apt-near-4/6780492895.html","10457"
"**Beautiful 2 Bedroom and 1 Bathroom apartment on Anthony Ave**","Dec 26"," (Fordham Heights, Bronx)","$1700","
                    2br -
                    750ft2 -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-beautiful-2-bedroom-and-1/6780330096.html","10457"
"THREE BEDROOM DUPLEX WITH TWO BATHROOM MUST SEE AND PARKING INCLUDED!!","Dec 26"," (East Tremont)","$2500","
                    3br -
                    1290ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-three-bedroom-duplex-with-two/6770546224.html","10457"
"AMAZING 2BR APARTMENT IN QUITE BUILDING","Dec 26","character(0)","$1725","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-amazing-2br-apartment-in-quite/6760694400.html","10457"
"🎟SECOND FLOOR BRAND NEW APARTMENT IN QUITE BUILDING 🎟","Dec 26","character(0)","$1450","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-second-floor-brand-new-apartment/6770968575.html","10457"
"3 bed for rent","Dec 26"," (Fordham)","$2000","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-3-bed-for-rent/6780191543.html","10457"
"NEED SALARY SHOWED  APARTMENT?","Dec 26"," (Bronx)","$1350","
                    1br -
                    1850ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-need-salary-showed-apartment/6779077947.html","10457"
"1 BED FOR RENT BRAND NEW $1400","Dec 26"," (CROTONA AVE)","$1400","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-1-bed-for-rent-brand-new-1400/6780190713.html","10457"
"1 BED FOR RENT BRAND NEW $1400","Dec 26"," (CROTONA AVE)","$1400","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-1-bed-for-rent-brand-new-1400/6780189229.html","10457"
"1 BED FOR RENT BRAND NEW $1400","Dec 26"," (CROTONA AVE)","$1400","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-1-bed-for-rent-brand-new-1400/6780190394.html","10457"
"4 bed","Dec 26"," (180)","$2400","
                    4br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-4-bed/6780190279.html","10457"
"1 BED FOR RENT BRAND NEW $1400","Dec 26"," (CROTONA AVE)","$1400","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-1-bed-for-rent-brand-new-1400/6780189110.html","10457"
"Same day approval!! Move in today!!!","Dec 25"," (White plains rd)","$1450","character(0)","https://newyork.craigslist.org/brx/abo/d/bronx-same-day-approval-move-in-today/6779941926.html","10457"
"Easy choice, jr 1br off the concourse","Dec 25","character(0)","$1450","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-easy-choice-jr-1br-off-the/6775260781.html","10457"
"Jr 1br in south bronx","Dec 25","character(0)","$1450","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-jr-1br-in-south-bronx/6759873301.html","10457"
"2BR apt in Private House","Dec 25"," (Prospect Ave & E Tremont Ave)","$2000","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-2br-apt-in-private-house/6777599089.html","10457"
"SOTA FHEPS","Dec 24"," (CARMEL NY)","$2000","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-sota-fheps/6779530709.html","10457"
"SOTA FHEPS","Dec 24"," (CARMEL NY)","$2000","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-sota-fheps/6779530440.html","10457"
"BRANDNEW 2BR IN A SMALL BUILD. (WALKING DISTANCE TO FORDHAM UNIVERITY","Dec 24"," (LITTLE ITALY)","$1500","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-brandnew-2br-in-small-build/6779559197.html","10457"
"Large Sunny 3Br","Dec 21"," (Near Grand Concourse)","$2100","
                    3br -
                    1200ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-large-sunny-3br/6756163144.html","10457"
"BRANDNEW 2BR IN A SMALL BUILD. (WALKING DISTANCE TO FORDHAM UNIVERITY","Dec 20"," (LITTLE ITALY)","$1500","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-brandnew-2br-in-small-build/6777140613.html","10457"
"Newly renovated 1 Bed 1 Bath located on E 173rd Street in the Bronx.","Dec  1","character(0)","$1350","
                    1br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-newly-renovated-1-bed-1-bath/6762177086.html","10457"
"Newly renovated 1 Bed 1 Bath located on Anthony Ave in the Bronx.","Dec  1","character(0)","$1375","
                    1br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-newly-renovated-1-bed-1-bath/6762145861.html","10457"
"Newly renovated 1 Bed 1 Bath located on Valentine Avenue in the Bronx.","Dec  1","character(0)","$1400","
                    1br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-newly-renovated-1-bed-1-bath/6762136811.html","10457"
"Newly renovated Studio 1 Bath located on Clay Avenue in the Bronx.","Dec  1","character(0)","$1200","character(0)","https://newyork.craigslist.org/brx/fee/d/bronx-newly-renovated-studio-1-bath/6762119560.html","10457"
"Newly renovated Studio 1 Bath located on Grand Concourse in the Bronx.","Dec  1","character(0)","$1200","character(0)","https://newyork.craigslist.org/brx/fee/d/bronx-newly-renovated-studio-1-bath/6762110711.html","10457"
"One bedroom apartment","Dec 27"," (Taylor avenue)","$1500","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-one-bedroom-apartment/6767318389.html","10460"
"West farms 1br, asap availability","Dec 26","character(0)","$1550","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-west-farms-1br-asap-availability/6770632312.html","10460"
"Bronx park south elevator building with laundry","Dec 26","character(0)","$1550","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-bronx-park-south-elevator/6768965405.html","10460"
"THIS WILL BE YOUR NEW 3BR HOME--- LAUNDRY IN BUILDiNG","Dec 26","character(0)","$2200","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-this-will-be-your-new-3br-home/6761335916.html","10460"
"🖇MASSIVE 3BR APARTMENT WITH ELEVATOR IN BUILDING--BIG LIVING AREA","Dec 26","character(0)","$2200","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-massive-3br-apartment-with/6770364248.html","10460"
"One Bedroom Apt on West Farms/ With elevator","Dec 26"," (E 180th St/ Southern Blvd)","$1450","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-one-bedroom-apt-on-west-farms/6775491597.html","10460"
"Apartamentos Renovados en El Bronx","Dec 26"," (Bronx)","$1375","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-apartamentos-renovados-en-el-bronx/6777121563.html","10460"
"Spacious studio apt in a building. Move in today!! Bad credit ok!!","Dec 25"," (Bronx)","$1400","character(0)","https://newyork.craigslist.org/brx/abo/d/bronx-spacious-studio-apt-in-building/6779938069.html","10460"
"STUNNING 3BR APARTMENT IN QUITE AREA WITH ELEVATOR IN BUILDING","Dec 25","character(0)","$2200","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-stunning-3br-apartment-in-quite/6760593152.html","10460"
"2BR apt in Private House","Dec 25"," (Prospect Ave & E Tremont Ave)","$2000","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-2br-apt-in-private-house/6777599089.html","10460"
"VOUCHER ACCEPTED","Dec 24"," (BRONX)","$1350","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-voucher-accepted/6778395354.html","10460"
"1521 saint lawrence ave. brand new 2 bedroom in private house","Dec 23"," (van nest)","$2000","
                    2br -
                    900ft2 -
                ","https://newyork.craigslist.org/brx/nfb/d/bronx-1521-saint-lawrence-ave-brand-new/6779060910.html","10460"
"TOTALLY NEW APARTMENT WITH GREAT LIGHT!! 🌞","Dec 22","character(0)","$1850","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-totally-new-apartment-with-great/6758172550.html","10460"
"GORGEOUS 3BR SPACIOUS NEW APARTMENT 🏓","Dec 22","character(0)","$2200","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-gorgeous-3br-spacious-new/6774457472.html","10460"
"2nd Floor Apartment for rent","Dec 20"," (Parkchester)","$2450","
                    4br -
                    1100ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-2nd-floor-apartment-for-rent/6777511795.html","10460"
"Nice Fresh Free Netflix  2E","Dec 20","character(0)","$1550","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-nice-fresh-free-netflix-2e/6777322320.html","10460"
"Nice Fresh Free Netflix  2E","Dec 20","character(0)","$1550","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-nice-fresh-free-netflix-2e/6777320870.html","10460"
"3Bedroom Duplex","Dec 17"," (Bronx)","$2500","character(0)","https://newyork.craigslist.org/brx/fee/d/bronx-3bedroom-duplex/6775160405.html","10460"
"Newly renovated 1 Bed 1 Bath located on Beach Ave in the Bronx.","Dec 17","character(0)","$1100","character(0)","https://newyork.craigslist.org/brx/fee/d/bronx-newly-renovated-1-bed-1-bath/6775021592.html","10460"
"1521 saint lawrence ave. brand new 2 bedroom in private house","Dec 16"," (van nest)","$2000","
                    2br -
                    900ft2 -
                ","https://newyork.craigslist.org/brx/nfb/d/bronx-1521-saint-lawrence-ave-brand-new/6774160099.html","10460"
"1521 saint lawrence ave. brand new 2 bedroom in private house","Dec  9"," (van nest)","$2000","
                    2br -
                    900ft2 -
                ","https://newyork.craigslist.org/brx/nfb/d/bronx-1521-saint-lawrence-ave-brand-new/6768513804.html","10460"
"1521 saint lawrence ave. brand new 2 bedroom in private house","Nov 30"," (van nest)","$2000","
                    2br -
                    900ft2 -
                ","https://newyork.craigslist.org/brx/nfb/d/bronx-1521-saint-lawrence-ave-brand-new/6761727260.html","10460"
"1521 saint lawrence ave. brand new 2 bedroom in private house","Nov 27"," (van nest)","$2000","
                    2br -
                    900ft2 -
                ","https://newyork.craigslist.org/brx/nfb/d/bronx-1521-saint-lawrence-ave-brand-new/6759095489.html","10460"
"Top Floor Beauty","Dec 27"," (Bedford Park)","$1500","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-top-floor-beauty/6780984759.html","10458"
"West University ate 2br","Dec 27"," (BX  NY)","$1900","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-west-university-ate-2br/6766851677.html","10458"
"E 183 ST","Dec 27"," (BX NY)","$1800","
                    21ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-183-st/6764025168.html","10458"
"West University ate 2br","Dec 27"," (BX  NY)","$1900","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-west-university-ate-2br/6774698205.html","10458"
"One bedroom apartment","Dec 27"," (Grand concourse)","$1600","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-one-bedroom-apartment/6763591394.html","10458"
"COMPLETELY RENOVATED 2bR APT. FOR RENT","Dec 27"," (Bronx ,NY)","$1800","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-completely-renovated-2br-apt-for/6780936546.html","10458"
"COMPLETELY RENOVATED 2bR APT. FOR RENT","Dec 27"," (Bronx ,NY)","$1800","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-completely-renovated-2br-apt-for/6780935972.html","10458"
"Fully renovated 3 bedroom apartment with brand new appliances","Dec 26"," (Bronx)","$2200","character(0)","https://newyork.craigslist.org/brx/abo/d/bronx-fully-renovated-3-bedroom/6780760696.html","10458"
"Beautiful renovated apartment","Dec 26"," (Grand Concourse Area)","$2200","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-beautiful-renovated-apartment/6780669366.html","10458"
"Beautiful renovated apartment","Dec 26"," (Grand Concourse Area)","$2200","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-beautiful-renovated-apartment/6780668842.html","10458"
"E 183 ST","Dec 26"," (BX NY)","$1800","
                    21ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-183-st/6780381356.html","10458"
"Housing near Fordham University","Dec 26"," (Hoffman Street)","$1850","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-housing-near-fordham-university/6777718109.html","10458"
"Pheland Pl","Dec 26"," (BX NY)","$1700","
                    2br -
                    25ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-pheland-pl/6780372643.html","10458"
"Mosholu - Large 1BR Apt - No Fee - Elevator Building","Dec 26"," (Mosholu Area)","$1450","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-mosholu-large-1br-apt-no-fee/6764521511.html","10458"
"Nice Two Bedrooms Apartment/ Near  Fordham University/Ready Now!!","Dec 26"," (E 189th St)","$1700","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-nice-two-bedrooms-apartment-near/6777647732.html","10458"
"COMPLETELY RENOVATED 1BR APT. FOR RENT","Dec 26"," (Bronx ,NY)","$1560","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-completely-renovated-1br-apt-for/6772406669.html","10458"
"One bedroom apartment","Dec 26"," (East 297th street)","$1500","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-one-bedroom-apartment/6776878081.html","10458"
"Pheland Pl","Dec 24"," (BX NY)","$1700","
                    2br -
                    25ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-pheland-pl/6757672552.html","10458"
"Perfect, Petite Apartment","Dec 24"," (Bedford Park)","$1195","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-perfect-petite-apartment/6779432682.html","10458"
"SOTA, CITY FHEPS MERRY XMAS","Dec 22","character(0)","$2200","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-sota-city-fheps-merry-xmas/6778264761.html","10458"
"Pheland Pl","Dec 21"," (BX NY)","$1700","
                    2br -
                    25ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-pheland-pl/6756371632.html","10458"
"Marion Ave","Dec 21"," (BX  NY)","$1650","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-marion-ave/6756373810.html","10458"
"GORGEOUS 2 BR APT","Dec 21"," (BELMONT)","$1500","
                    2br -
                ","https://newyork.craigslist.org/brx/nfb/d/bronx-gorgeous-2-br-apt/6777895460.html","10458"
"TWO BED APT. EXTRA LARGE","Dec 21"," (BRONX)","$1900","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-two-bed-apt-extra-large/6765259974.html","10458"
"TWO BED APT. EXTRA LARGE","Dec 21"," (BRONX)","$1895","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-two-bed-apt-extra-large/6771013620.html","10458"
"OFFICE SPACE FOR RENT","Dec 21"," (GRAND CONCOURSE AND BEDFORD PARK)","$700","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-office-space-for-rent/6765260969.html","10458"
"3 BED APT. EXTRA LARGE","Dec 21"," (BRONX)","$2500","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-3-bed-apt-extra-large/6765263111.html","10458"
"STUDIO APT","Dec 21"," (BRONX)","$1350","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/studio-apt/6771012957.html","10458"
"COMMERCIAL SPACE","Dec 21"," (GRAND CONCOURSE AND BEDFORD PARK)","$2000","
                    4br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-commercial-space/6765262459.html","10458"
"ONE BEDROOM APT","Dec 21"," (BRONX)","$1600","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-one-bedroom-apt/6765262147.html","10458"
"COMPLETELY RENOVATED 2 BR APT. FOR RENT","Dec 21"," (Bronx ,NY)","$1800","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-completely-renovated-2-br-apt-for/6757651824.html","10458"
"COMPLETELY RENOVATED 2BR APT. FOR RENT","Dec 21"," (Bronx ,NY)","$1800","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-completely-renovated-2br-apt-for/6757652189.html","10458"
"Brand New 4 Bedrm Apt","Dec 20"," (Morris Ave)","$2200","
                    4br -
                    1125ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-brand-new-4-bedrm-apt/6777221219.html","10458"
"Bright and Newly Renovated Two Bedroom","Dec 20"," (Cambreleng Avenue)","$1750","
                    2br -
                    750ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-bright-and-newly-renovated-two/6774975577.html","10458"
"|Development Site Bronx For Sale| Apartments 1Br , 2Brs 3Brs For Re","Dec 14"," (Bronx, NYC)","$1800","character(0)","https://newyork.craigslist.org/brx/fee/d/bronx-development-site-bronx-for-sale/6772310684.html","10458"
"Affordable Studio Apartment FOR RENT!!","Dec  4"," (2356 Grand Concourse Ave)","$1350","
                    1br -
                ","https://newyork.craigslist.org/brx/nfb/d/bronx-affordable-studio-apartment-for/6764772188.html","10458"
"Apartment for rent","Dec  4"," (Valentine ave)","$1975","
                    2br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-apartment-for-rent/6764555020.html","10458"
"COZY STUDIO","Dec  4"," (MARION AVENUE)","$1200","character(0)","https://newyork.craigslist.org/brx/fee/d/bronx-cozy-studio/6764307374.html","10458"
"Newly renovated 1 Bed 1 Bath located on Marion Avenue in the Bronx.","Dec  1","character(0)","$1350","
                    1br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-newly-renovated-1-bed-1-bath/6762172500.html","10458"
"Newly renovated 1 Bed 1 Bath located on E 196th Street in the Bronx.","Dec  1","character(0)","$1395","
                    1br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-newly-renovated-1-bed-1-bath/6762168558.html","10458"
"Spacious-Renovated2BED-Steps to Transit-Shops-Elevator-Laundry on site","Nov 28"," (Norwood)","$1875","
                    2br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-spacious-renovated2bed-steps-to/6759469029.html","10458"
"+++++ $1200 1Brm, 1st Fl. 700sqft +++++++++++++","Dec 27"," (762 E. 214 St)","$1200","
                    1br -
                    700ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/brm-1st-fl-700sqft/6781071855.html","10467"
"TERRIFIC 3 BEDROOMS APT/ NEAR MONTEFIORE HOSPITAL/ 4-D TRAIN","Dec 27"," (Hull Ave)","$2100","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-terrific-3-bedrooms-apt-near/6780969342.html","10467"
"5 bedrooms 2 units with backyard - parking","Dec 27"," (Norwood)","$1740","
                    5br -
                ","https://newyork.craigslist.org/brk/abo/d/bronx-5-bedrooms-2-units-with-backyard/6762760130.html","10467"
"NEW APARTMENT IN THE BRONX","Dec 27","character(0)","$1625","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-new-apartment-in-the-bronx/6766971346.html","10467"
"NEW APARTMENT IN THE BRONX","Dec 27","character(0)","$1625","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-new-apartment-in-the-bronx/6766971046.html","10467"
"STUDIO FOR RENT","Dec 27"," (Holland ave)","$1350","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-studio-for-rent/6774495378.html","10467"
"STUDIO APARTMENT","Dec 27"," (Webb avenue)","$1300","character(0)","https://newyork.craigslist.org/brx/abo/d/bronx-studio-apartment/6767313720.html","10467"
"Rento un apartamento de una habitacion en el Bronx","Dec 26"," (Knox Pl)","$1300","
                    1br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-rento-un-apartamento-de-una/6780823071.html","10467"
"3 Bdrm Apt For HASA Clients -","Dec 26"," (Bronx)","$2257","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-3-bdrm-apt-for-hasa-clients/6780731481.html","10467"
"3 Bdrm Apt For Section 8 Clients -","Dec 26"," (Bronx)","$2257","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-3-bdrm-apt-for-section-8-clients/6780731141.html","10467"
"AMAZING 1BR APARTMENT WITH ONSITE MANAGEMENT 🧳","Dec 26","character(0)","$1575","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-amazing-1br-apartment-with-onsite/6777312175.html","10467"
"Bran new 3 Bedrooms in a prime location-near Subway-PROGRAM ACCEPTED","Dec 26"," (Williamsbridge)","$2300","
                    3br -
                    1000ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-bran-new-3-bedrooms-in-prime/6780479249.html","10467"
"Large 2 bedroom apartment - Ready to move In","Dec 26"," (Norwood - Montefiore Hospital)","$1700","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-large-2-bedroom-apartment-ready/6769186371.html","10467"
"2 Bedroom Apt. - Band New .  Ready to Move In","Dec 26"," (Willamsbridge - Bronx)","$1700","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-2-bedroom-apt-band-new-ready-to/6768502418.html","10467"
"2 Bedroom Apt. - Close to Montifurie  Hospital - Move In","Dec 26"," (Norwood - Bronx)","$1700","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-2-bedroom-apt-close-to-montifurie/6779099289.html","10467"
"Mosholu - Large 1BR Apt - No Fee - Elevator Building","Dec 26"," (Mosholu Area)","$1450","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-mosholu-large-1br-apt-no-fee/6764521511.html","10467"
"Very Nice One Bedroom Apt/ Laundry in The Basement/Near Montefiore Hos","Dec 26"," (Norwood/ Mosholu pkwy)","$1350","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-very-nice-one-bedroom-apt-laundry/6774564458.html","10467"
"Very Nice Studio Apartment/ Near 4-D Train/ Ready to Move in Now","Dec 26"," (Rochambeau Ave)","$1300","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-very-nice-studio-apartment-near-4/6776912832.html","10467"
