year,rank,artist
2010,19,Iyaz
2010,20,Justin Bieber
2010,21,Mike Posner
2010,22,Nicki Minaj
2010,23,Glee Cast
2010,24,Lil Wayne
2010,25,Jay Sean
2010,26,Young Money
2010,27,David Guetta
2010,28,Alicia Keys
2010,29,The Script
2010,30,Timbaland
2010,31,Adam Lambert
2010,32,OneRepublic
2010,33,Miley Cyrus
2010,34,Pitbull
2010,35,Snoop Dogg
2010,36,Carrie Underwood
2010,37,Owl City
2010,38,Enrique Iglesias
2010,39,Nelly
2010,40,Travie McCoy
2010,41,Michael Buble
2010,42,Beyonce
2010,43,La Roux
2010,44,Zac Brown Band
2010,45,Chris Brown
2010,46,Selena Gomez
2010,47,Miranda Lambert
2010,48,Kris Allen
2010,49,Jason Aldean
2010,50,John Mayer
2010,51,will.i.am
2010,52,3OH!3
2010,53,Far*East Movement
2010,54,Orianthi
2010,55,T.I.
2010,56,P!nk
2010,57,Daughtry
2010,58,Maroon 5
2010,59,Hayley Williams
2010,60,Neon Trees
2010,61,Flo Rida
2010,62,Brad Paisley
2010,63,Kenny Chesney
2010,64,Britney Spears
2010,65,Kelly Clarkson
2010,66,Shontelle
2010,67,Billy Currington
2010,68,Colbie Caillat
2010,69,Nickelback
2010,70,Kanye West
2010,71,Luke Bryan
2010,72,Josh Turner
2010,73,Darius Rucker
2010,74,Kings Of Leon
2010,75,New Boyz
2010,76,Easton Corbin
2010,77,Keith Urban
2010,78,Akon
2010,79,Sugarland
2010,80,Gucci Mane
2010,81,Lloyd
2010,82,Monica
2010,83,Blake Shelton
2010,84,Shakira
2010,85,Sean Kingston
2010,86,Young Jeezy
2010,87,The Band Perry
2010,88,Paramore
2010,89,Rascal Flatts
2010,90,Sara Bareilles
2010,91,Reba McEntire
2010,92,Uncle Kracker
2010,93,Boys Like Girls
2010,94,Cali Swag District
2010,95,Jerrod Niemann
2010,96,Jaron And The Long Road To Love
2010,97,Cascada
2010,98,Justin Timberlake
2010,99,CeeLo Green
2010,100,Chris Young
2011,1,Katy Perry
2011,2,Bruno Mars
2011,3,Rihanna
2011,4,Adele
2011,5,Lil Wayne
2011,6,Lady Gaga
2011,7,Nicki Minaj
2011,8,Pitbull
2011,9,Chris Brown
2011,10,Britney Spears
2011,11,P!nk
2011,12,The Black Eyed Peas
2011,13,LMFAO
2011,14,Wiz Khalifa
2011,15,Ke$ha
2011,16,Drake
2011,17,CeeLo Green
2011,18,Kanye West
2011,19,Jason Aldean
2011,20,Taylor Swift
2011,21,Glee Cast
2011,22,OneRepublic
2011,23,The Band Perry
2011,24,Blake Shelton
2011,25,Usher
2011,26,Foster The People
2011,27,Enrique Iglesias
2011,28,Lady A
2011,29,Lupe Fiasco
2011,30,Maroon 5
2011,31,Jennifer Lopez
2011,32,Hot Chelle Rae
2011,33,Taio Cruz
2011,34,David Guetta
2011,35,Trey Songz
2011,36,Zac Brown Band
2011,37,The Script
2011,38,Far*East Movement
2011,39,Jeremih
2011,40,Kenny Chesney
2011,41,Beyonce
2011,42,Luke Bryan
2011,43,Jason Derulo
2011,44,Christina Perri
2011,45,Brad Paisley
2011,46,T-Pain
2011,47,Nelly
2011,48,Bad Meets Evil
2011,49,Avril Lavigne
2011,50,Dev
2011,51,Flo Rida
2011,52,Dr. Dre
2011,53,Keith Urban
2011,54,Gym Class Heroes
2011,55,Coldplay
2011,56,Diddy - Dirty Money
2011,57,Chris Young
2011,58,Mike Posner
2011,59,Waka Flocka Flame
2011,60,Keri Hilson
2011,61,Miguel
2011,62,Rascal Flatts
2011,63,Miranda Lambert
2011,64,DJ Khaled
2011,65,Big Sean
2011,66,Selena Gomez
2011,67,Eli Young Band
2011,68,Cobra Starship
2011,69,New Boyz
2011,70,Thompson Square
2011,71,Toby Keith
2011,72,Kelly Rowland
2011,73,Jake Owen
2011,74,Kelly Clarkson
2011,75,Billy Currington
2011,76,Train
2011,77,Tinie Tempah
2011,78,Eric Church
2011,79,Christina Aguilera
2011,80,Eminem
2011,81,Rodney Atkins
2011,82,Jerrod Niemann
2011,83,Rick Ross
2011,84,50 Cent
2011,85,Neon Trees
2011,86,Afrojack
2011,87,Carrie Underwood
2011,88,Skylar Grey
2011,89,Justin Bieber
2011,90,Alexandra Stan
2011,91,Mumford & Sons
2011,92,George Strait
2011,93,Sara Evans
2011,94,Edward Maya
2011,95,Vika Jigulina
2011,96,JAY-Z
2011,97,Jessie J
2011,98,Selena Gomez & The Scene
2011,99,Darius Rucker
2011,100,WILLOW
2012,1,Rihanna
2012,2,Flo Rida
2012,3,Nicki Minaj
2012,4,Adele
2012,5,Maroon 5
2012,6,Katy Perry
2012,7,fun.
2012,8,Carly Rae Jepsen
2012,9,Drake
2012,10,Taylor Swift
2012,11,Kelly Clarkson
2012,12,LMFAO
2012,13,One Direction
2012,14,Gotye
2012,15,David Guetta
2012,16,Justin Bieber
2012,17,The Wanted
2012,18,Chris Brown
2012,19,Ellie Goulding
2012,20,Usher
2012,21,Calvin Harris
2012,22,Bruno Mars
2012,23,Train
2012,24,Wiz Khalifa
2012,25,Pitbull
2012,26,Luke Bryan
2012,27,Lil Wayne
2012,28,Big Sean
2012,29,Tyga
2012,30,Neon Trees
2012,31,Jason Mraz
2012,32,Gym Class Heroes
2012,33,Alex Clare
2012,34,2 Chainz
2012,35,Kanye West
2012,36,Carrie Underwood
2012,37,P!nk
2012,38,Jason Aldean
2012,39,Trey Songz
2012,40,Eric Church
2012,41,Demi Lovato
2012,42,Kimbra
2012,43,J. Cole
2012,44,Sia
2012,45,B.o.B
2012,46,Jessie J
2012,47,JAY-Z
2012,48,Hunter Hayes
2012,49,Janelle Monae
2012,50,Kenny Chesney
2012,51,PSY
2012,52,Ne-Yo
2012,53,Lee Brice
2012,54,Blake Shelton
2012,55,Phillip Phillips
2012,56,Lady A
2012,57,Karmin
2012,58,Miranda Lambert
2012,59,Toby Keith
2012,60,Cher Lloyd
2012,61,Zac Brown Band
2012,62,Gavin DeGraw
2012,63,Coldplay
2012,64,Tim McGraw
2012,65,Rascal Flatts
2012,66,Dierks Bentley
2012,67,Glee Cast
2012,68,Jake Owen
2012,69,Little Big Town
2012,70,The Lumineers
2012,71,Imagine Dragons
2012,72,Mumford & Sons
2012,73,The Band Perry
2012,74,Beyonce
2012,75,Kip Moore
2012,76,Owl City
2012,77,Miguel
2012,78,Kirko Bangz
2012,79,Christina Aguilera
2012,80,Keith Urban
2012,81,Ke$ha
2012,82,Selena Gomez & The Scene
2012,83,Christina Perri
2012,84,Ca$h Out
2012,85,Eli Young Band
2012,86,Foster The People
2012,87,Linkin Park
2012,88,Of Monsters And Men
2012,89,Future
2012,90,Love And Theft
2012,91,Josh Turner
2012,92,Snoop Dogg
2012,93,Gloriana
2012,94,Dustin Lynch
2012,95,Wale
2012,96,Rick Ross
2012,97,Outasight
2012,98,Frank Ocean
2012,99,T-Pain
2012,100,Brantley Gilbert
2013,1,Bruno Mars
2013,2,Macklemore & Ryan Lewis
2013,3,Imagine Dragons
2013,4,Justin Timberlake
2013,5,Rihanna
2013,6,Taylor Swift
2013,7,Miley Cyrus
2013,8,Maroon 5
2013,9,Baauer
2013,10,Drake
2013,11,P!nk
2013,12,Robin Thicke
2013,13,Florida Georgia Line
2013,14,Katy Perry
2013,15,The Lumineers
2013,16,Lorde
2013,17,JAY-Z
2013,18,One Direction
2013,19,Phillip Phillips
2013,20,Lil Wayne
2013,21,Avicii
2013,22,Kendrick Lamar
2013,23,Selena Gomez
2013,24,Luke Bryan
2013,25,Hunter Hayes
2013,26,Blake Shelton
2013,27,Anna Kendrick
2013,28,Ke$ha
2013,29,fun.
2013,30,Daft Punk
2013,31,Nicki Minaj
2013,32,Chris Brown
2013,33,Eminem
2013,34,Justin Bieber
2013,35,PSY
2013,36,AWOLNATION
2013,37,will.i.am
2013,38,Miguel
2013,39,2 Chainz
2013,40,Calvin Harris
2013,41,Pitbull
2013,42,Lady Gaga
2013,43,Capital Cities
2013,44,Pharrell Williams
2013,45,Future
2013,46,Tim McGraw
2013,47,Britney Spears
2013,48,Wanz
2013,49,Zedd
2013,50,Fall Out Boy
2013,51,Ed Sheeran
2013,52,OneRepublic
2013,53,J. Cole
2013,54,The Band Perry
2013,55,Demi Lovato
2013,56,Ariana Grande
2013,57,Flo Rida
2013,58,Ellie Goulding
2013,59,Darius Rucker
2013,60,Jason Aldean
2013,61,Mumford & Sons
2013,62,Swedish House Mafia
2013,63,Icona Pop
2013,64,Carrie Underwood
2013,65,Jason Derulo
2013,66,A$AP Rocky
2013,67,Lana Del Rey
2013,68,Kelly Clarkson
2013,69,T.I.
2013,70,Randy Houser
2013,71,Ray Dalton
2013,72,Miranda Lambert
2013,73,Nelly
2013,74,Of Monsters And Men
2013,75,Lee Brice
2013,76,Nate Ruess
2013,77,Wale
2013,78,Big Sean
2013,79,Lady A
2013,80,Alicia Keys
2013,81,Sage The Gemini
2013,82,Ciara
2013,83,Ylvis
2013,84,Mikky Ekko
2013,85,Brad Paisley
2013,86,Juicy J
2013,87,Emeli Sande
2013,88,Zac Brown Band
2013,89,Kip Moore
2013,90,Ne-Yo
2013,91,Kenny Chesney
2013,92,Eric Church
2013,93,Jake Owen
2013,94,Thomas Rhett
2013,95,Cedric Gervais
2013,96,Chris Young
2013,97,Mariah Carey
2013,98,Sara Bareilles
2013,99,Passenger
2013,100,Trinidad James
2014,1,Katy Perry
2014,2,Pharrell Williams
2014,3,Iggy Azalea
2014,4,John Legend
2014,5,OneRepublic
2014,6,Jason Derulo
2014,7,Lorde
2014,8,Sam Smith
2014,9,Ariana Grande
2014,10,Imagine Dragons
2014,11,Meghan Trainor
2014,12,Taylor Swift
2014,13,MAGIC!
2014,14,Nicki Minaj
2014,15,Pitbull
2014,16,Avicii
2014,17,One Direction
2014,18,Charli XCX
2014,19,Drake
2014,20,Bastille
2014,21,Maroon 5
2014,22,Nico & Vinz
2014,23,Luke Bryan
2014,24,Eminem
2014,25,Chris Brown
2014,26,Florida Georgia Line
2014,27,Ed Sheeran
2014,28,Idina Menzel
2014,29,Beyonce
2014,30,Miley Cyrus
2014,31,Passenger
2014,32,Calvin Harris
2014,33,Justin Timberlake
2014,34,Sia
2014,35,Tove Lo
2014,36,American Authors
2014,37,Juicy J
2014,38,Jason Aldean
2014,39,Coldplay
2014,40,Ellie Goulding
2014,41,5 Seconds Of Summer
2014,42,Demi Lovato
2014,43,YG
2014,44,Trey Songz
2014,45,Kid Ink
2014,46,Lil Jon
2014,47,Paramore
2014,48,DJ Snake
2014,49,Blake Shelton
2014,50,2 Chainz
2014,51,Brantley Gilbert
2014,52,Aloe Blacc
2014,53,Disclosure
2014,54,Dierks Bentley
2014,55,Lady A
2014,56,ScHoolboy Q
2014,57,MKTO
2014,58,A Great Big World
2014,59,Christina Aguilera
2014,60,Enrique Iglesias
2014,61,Bobby Shmurda
2014,62,Clean Bandit
2014,63,Rihanna
2014,64,Jeremih
2014,65,Shakira
2014,66,Echosmith
2014,67,Lady Gaga
2014,68,Cole Swindell
2014,69,JAY-Z
2014,70,Young Thug
2014,71,Zedd
2014,72,Miranda Lambert
2014,73,Keith Urban
2014,74,Becky G
2014,75,Ke$ha
2014,76,Rixton
2014,77,Martin Garrix
2014,78,Rae Sremmurd
2014,79,T.I.
2014,80,Kenny Chesney
2014,81,Frankie Ballard
2014,82,Sara Bareilles
2014,83,Eric Church
2014,84,Wiz Khalifa
2014,85,The Neighbourhood
2014,86,Ty Dolla $ign
2014,87,Sam Hunt
2014,88,Lee Brice
2014,89,Jake Owen
2014,90,Joe Nichols
2014,91,John Newman
2014,92,Rich Homie Quan
2014,93,KONGOS
2014,94,Tinashe
2014,95,Rita Ora
2014,96,Tim McGraw
2014,97,Jessie J
2014,98,Lil Wayne
2014,99,Vance Joy
2014,100,Thomas Rhett
2015,1,The Weeknd
2015,2,Taylor Swift
2015,3,Fetty Wap
2015,4,Ed Sheeran
2015,5,Drake
2015,6,Maroon 5
2015,7,Meghan Trainor
2015,8,Mark Ronson
2015,9,Sam Smith
2015,10,WALK THE MOON
2015,11,Ellie Goulding
2015,12,Nicki Minaj
2015,13,Silento
2015,14,Wiz Khalifa
2015,15,OMI
2015,16,Justin Bieber
2015,17,Selena Gomez
2015,18,Jason Derulo
2015,19,Nick Jonas
2015,20,Hozier
2015,21,Fall Out Boy
2015,22,Tove Lo
2015,23,Sam Hunt
2015,24,One Direction
2015,25,Rae Sremmurd
2015,26,Ariana Grande
2015,27,Rachel Platten
2015,28,Bruno Mars
2015,29,Charlie Puth
2015,30,Sia
2015,31,Luke Bryan
2015,32,Andy Grammer
2015,33,Future
2015,34,Rihanna
2015,35,Fifth Harmony
2015,36,Big Sean
2015,37,Shawn Mendes
2015,38,Adele
2015,39,Chris Brown
2015,40,Flo Rida
2015,41,DJ Snake
2015,42,Demi Lovato
2015,43,Florida Georgia Line
2015,44,Rich Homie Quan
2015,45,David Guetta
2015,46,Kendrick Lamar
2015,47,Thomas Rhett
2015,48,Omarion
2015,49,Beyonce
2015,50,Trey Songz
2015,51,Blake Shelton
2015,52,J. Cole
2015,53,Jeremih
2015,54,T-Wayne
2015,55,Ne-Yo
2015,56,Carrie Underwood
2015,57,Kid Ink
2015,58,X Ambassadors
2015,59,Pitbull
2015,60,Little Big Town
2015,61,Zac Brown Band
2015,62,Eric Church
2015,63,Calvin Harris
2015,64,R. City
2015,65,Natalie La Rose
2015,66,Keith Urban
2015,67,Meek Mill
2015,68,Usher
2015,69,Major Lazer
2015,70,Jason Aldean
2015,71,Kanye West
2015,72,Brett Eldredge
2015,73,Vance Joy
2015,74,Chris Young
2015,75,Kenny Chesney
2015,76,Elle King
2015,77,Iggy Azalea
2015,78,O.T. Genasis
2015,79,iLoveMemphis
2015,80,Cole Swindell
2015,81,Skrillex
2015,83,M0
2015,84,George Ezra
2015,85,DeJ Loaf
2015,86,Tim McGraw
2015,87,Kelly Clarkson
2015,88,Jidenna
2015,89,Echosmith
2015,90,Ella Henderson
2015,91,Alessia Cara
2015,92,Mr. Probz
2015,93,A$AP Rocky
2015,94,Chris Janson
2015,95,Zedd
2015,96,Imagine Dragons
2015,97,Remy Boyz
2015,98,Paul McCartney
2015,99,James Newton Howard
2015,100,I LOVE MAKONNEN
2016,1,Drake
2016,2,Justin Bieber
2016,3,twenty one pilots
2016,4,Rihanna
2016,5,Adele
2016,6,The Chainsmokers
2016,7,The Weeknd
2016,8,Desiigner
2016,9,Shawn Mendes
2016,10,Ariana Grande
2016,11,Selena Gomez
2016,12,Meghan Trainor
2016,13,Lukas Graham
2016,14,Future
2016,15,Justin Timberlake
2016,16,Bryson Tiller
2016,17,Fetty Wap
2016,18,DNCE
2016,19,Flo Rida
2016,20,Mike Posner
2016,21,Daya
2016,22,Sia
2016,23,Charlie Puth
2016,24,Alessia Cara
2016,25,Fifth Harmony
2016,26,Zayn
2016,27,Beyonce
2016,28,Calvin Harris
2016,29,Florida Georgia Line
2016,30,Kevin Gates
2016,31,Tory Lanez
2016,32,Major Lazer
2016,33,DJ Snake
2016,34,P!nk
