no_overall,no_inseason,no_season,viewers,air_date,pitch_title,pitch_description,deal,sharks,category_1,category_2,business_category_1,business_category_2,business_category_3,category_3
15,1,2,6.1,3/20/11,Wurkin Stiffs,magnetic collar-stays ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Science,Business,Retail_Trade,Industrial_Goods_and_Services,Electronics_and_Electrical,Health
15,1,2,6.1,3/20/11, Tippi Toes,a children's exercise program franchise ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Health,Sports,Opportunities,Hospitality,Healthcare,Home
15,1,2,6.1,3/20/11, CBS Foods,shrimp-based burgers ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Business,Hospitality,Opportunities,Food_and_Related_Products,Recreation
15,1,2,6.1,3/20/11, Copa di Vino,a proprietary container for a single serving of wine by the glass ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Recreation,Information_Technology,Food_and_Related_Products,Industrial_Goods_and_Services,Home
16,2,2,4.6,3/25/11,Toygaroo,a toy subscription service ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Computers,Consumer_Goods_and_Services,Biotechnology_and_Pharmaceuticals,Retail_Trade,Business
16,2,2,4.6,3/25/11, Wake n' Bacon,an alarm clock that wakes you up with fresh bacon ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Recreation,Telecommunications,Business_Services,Food_and_Related_Products,Computers
16,2,2,4.6,3/25/11, Vurtego,extreme pogo sticks ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Games,Arts_and_Entertainment,Consumer_Goods_and_Services,Construction_and_Maintenance,Arts
16,2,2,4.6,3/25/11, First Defense Nasal Screen,a personal air filtration system ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Business,Science,Textiles_and_Nonwovens,Industrial_Goods_and_Services,Environment,Recreation
17,3,2,4.8,4/1/11,Mod Mom Furniture,modernized toy boxes ,YES,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Recreation,Games,Consumer_Goods_and_Services,Publishing_and_Printing,Industrial_Goods_and_Services,Home
17,3,2,4.8,4/1/11, Fitness Stride,an exercise device ,NO,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Computers,Health,Biotechnology_and_Pharmaceuticals,Healthcare,Agriculture_and_Forestry,Science
17,3,2,4.8,4/1/11, Flipoutz,armbands you personalize with coins ,YES,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Recreation,Arts,Business_Services,Marketing_and_Advertising,Information_Technology,Computers
17,3,2,4.8,4/1/11, Pure Ayre,a more effective odor remover ,NO,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Home,Health,Healthcare,Environment,Textiles_and_Nonwovens,Computers
18,4,2,4.6,4/8/11,Ride-On Carry-On,luggage with a built-in child chair ,YES,"Jeff Foxworthy, Daymond, Kevin O'Leary, Barbara, Robert",Computers,Home,Information_Technology,Consumer_Goods_and_Services,Arts_and_Entertainment,Health
18,4,2,4.6,4/8/11, Uncle Zip's Beef Jerky,beef jerky made without preservatives ,NO,"Jeff Foxworthy, Daymond, Kevin O'Leary, Barbara, Robert",Home,Health,Food_and_Related_Products,Agriculture_and_Forestry,Hospitality,Business
18,4,2,4.6,4/8/11, Hillbilly Brand,"a specialty clothing brand marketed towards ""rednecks",YES,"Jeff Foxworthy, Daymond, Kevin O'Leary, Barbara, Robert",Business,Recreation,Textiles_and_Nonwovens,Marketing_and_Advertising,Retail_Trade,Health
18,4,2,4.6,4/8/11, Broccoli Wad,a mafia-inspired money clip ,YES,"Jeff Foxworthy, Daymond, Kevin O'Leary, Barbara, Robert",Computers,Home,Biotechnology_and_Pharmaceuticals,Investing,Agriculture_and_Forestry,Business
19,5,2,5.2,4/15/11,Fridge Fronts,magnetic decorative covers for refrigerators ,YES,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert Herjavec",Science,Home,Hospitality,Publishing_and_Printing,Construction_and_Maintenance,Arts
19,5,2,5.2,4/15/11, New Era Brands,clip-on gum and contact lens cases ,NO,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert Herjavec",Sports,Health,Consumer_Goods_and_Services,Food_and_Related_Products,Healthcare,Recreation
19,5,2,5.2,4/15/11, Thin Gloss,weight loss lip gloss ,NO,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert Herjavec",Health,Home,Textiles_and_Nonwovens,Consumer_Goods_and_Services,Construction_and_Maintenance,Business
19,5,2,5.2,4/15/11, Lightfilm,light-up decals for car windows ,YES,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert Herjavec",Computers,Recreation,Construction_and_Maintenance,Automotive,Publishing_and_Printing,Business
20,6,2,4.2,4/22/11,Hot Mama Gowns,luxury maternity gowns ,NO,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Home,Health,Consumer_Goods_and_Services,Arts_and_Entertainment,Real_Estate,Arts
20,6,2,4.2,4/22/11, Caddy Swag,a drink cooler designed for golf bags ,NO,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Sports,Home,Consumer_Goods_and_Services,Food_and_Related_Products,Hospitality,Recreation
20,6,2,4.2,4/22/11, Daisy Cakes,mail-order cakes ,YES,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Home,Recreation,Food_and_Related_Products,Business_Services,Mining_and_Drilling,Arts
20,6,2,4.2,4/22/11, Sweep Easy,a broom with a built-in scraper ,YES,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Computers,Home,Information_Technology,Construction_and_Maintenance,Materials,Arts
21,7,2,4.8,4/29/11,Carsik Bib,a bib for carsick children ,NO,"Jeff Foxworthy, Daymond, Kevin O'Leary, Barbara, Robert",Sports,Home,Arts_and_Entertainment,Publishing_and_Printing,Telecommunications,Society
21,7,2,4.8,4/29/11, Hydromax,a hydration system for football players ,YES,"Jeff Foxworthy, Daymond, Kevin O'Leary, Barbara, Robert",Sports,Games,Arts_and_Entertainment,Telecommunications,Healthcare,Health
21,7,2,4.8,4/29/11, Ecomowers,an eco-friendly manual lawn mower that doesn't require blade sharpening ,NO,"Jeff Foxworthy, Daymond, Kevin O'Leary, Barbara, Robert",Home,Computers,Consumer_Goods_and_Services,Retail_Trade,Textiles_and_Nonwovens,Business
21,7,2,4.8,4/29/11, Games2U,mobile party games franchise ,NO,"Jeff Foxworthy, Daymond, Kevin O'Leary, Barbara, Robert",Sports,Games,Telecommunications,Opportunities,Retail_Trade,Business
22,8,2,4.4,5/6/11,Origaudio,innovative portable speakers ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Business,Business_Services,Consumer_Goods_and_Services,Retail_Trade,Science
22,8,2,4.4,5/6/11, Man Candle,masculine scented candles ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Home,Healthcare,Arts_and_Entertainment,Consumer_Goods_and_Services,Health
22,8,2,4.4,5/6/11, Original Runner Company,aisle runners for weddings and special events ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Society,Arts_and_Entertainment,Transportation_and_Logistics,Accounting,Business
22,8,2,4.4,5/6/11, HyConn,a connector for fire hydrant hoses that is faster and easier to use ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Recreation,Industrial_Goods_and_Services,Business_Services,Information_Technology,Health
23,9,2,4.9,5/13/11,CitiKitty,a toilet training product for cats ,YES,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Health,Recreation,Construction_and_Maintenance,Business_Services,Healthcare,Business
23,9,2,4.9,5/13/11, Samson Martin,T-shirts for expecting moms ,NO,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Home,Health,Marketing_and_Advertising,Arts_and_Entertainment,Investing,Computers
23,9,2,4.9,5/13/11, Aldo Orta Jewelry,mass market versions of custom jewelry ,YES,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Computers,Business,Consumer_Goods_and_Services,Arts_and_Entertainment,Information_Technology,Science
23,9,2,4.9,5/13/11, One Sole,shoes with replaceable tops ,YES,"Kevin Harrington, Daymond, Kevin O'Leary, Barbara, Robert",Business,Sports,Electronics_and_Electrical,Consumer_Goods_and_Services,Agriculture_and_Forestry,Games
24,1,3,6.2,1/20/12,The Clean Bottle,easy to clean water bottles ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Home,Energy,Industrial_Goods_and_Services,Marketing_and_Advertising,Science
24,1,3,6.2,1/20/12, My Wonderful Life,a funeral planning service ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Society,Business,Cooperatives,Retail_Trade,Real_Estate,Home
24,1,3,6.2,1/20/12, Business Ghost,a ghost writing service ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Society,Arts,Business_Services,Marketing_and_Advertising,Telecommunications,Business
24,1,3,6.2,1/20/12, EZ VIP,a club reservation service ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Sports,Hospitality,Transportation_and_Logistics,Aerospace_and_Defense,Business
25,2,3,5.4,1/27/12,I Want To Draw A Cat For You,an online service that creates and delivers custom cat drawings ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Arts,Information_Technology,Marketing_and_Advertising,Consumer_Goods_and_Services,Recreation
25,2,3,5.4,1/27/12, Salespreneur,a company that teaches how to become a good sales rep ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Business,Health,Investing,Construction_and_Maintenance,Retail_Trade,Recreation
25,2,3,5.4,1/27/12, Vegas Magic Show,a magic show act ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Society,Arts_and_Entertainment,Agriculture_and_Forestry,Healthcare,Games
25,2,3,5.4,1/27/12, Invis-A-Rack,a collapsable cargo rack for truck beds ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Home,Transportation_and_Logistics,Information_Technology,Consumer_Goods_and_Services,Business
26,3,3,5.1,2/3/12,Chord Buddy,a system for learning to play guitar ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Games,Computers,Arts_and_Entertainment,Telecommunications,Investing,Arts
26,3,3,5.1,2/3/12, Liquid Money,a fragrance that smells like money ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Health,Home,Construction_and_Maintenance,Consumer_Goods_and_Services,Investing,Arts
26,3,3,5.1,2/3/12, Tail Lightz, a blinking accessory for jeans ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Business,Arts_and_Entertainment,Marketing_and_Advertising,Textiles_and_Nonwovens,Computers
26,3,3,5.1,2/3/12, You Smell Soap,luxury soap ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Games,Recreation,Real_Estate,Automotive,Consumer_Goods_and_Services,Home
27,4,3,5.8,2/10/12,The Swilt,a sweater and quilt combination ,NO,"Mark, Daymond, Kevin, Lori, Robert",Arts,Home,Consumer_Goods_and_Services,Textiles_and_Nonwovens,Information_Technology,Health
27,4,3,5.8,2/10/12, Show No,a towel that provides coverage to change out of a swimsuit in public ,YES,"Mark, Daymond, Kevin, Lori, Robert",Business,Sports,Textiles_and_Nonwovens,Arts_and_Entertainment,Marketing_and_Advertising,Home
27,4,3,5.8,2/10/12, Puppy Cake,a cake mix for dogs ,NO,"Mark, Daymond, Kevin, Lori, Robert",Home,Recreation,Food_and_Related_Products,Business_Services,Opportunities,Health
27,4,3,5.8,2/10/12, Wine Balloon,a way to keep wine good for longer ,YES,"Mark, Daymond, Kevin, Lori, Robert",Recreation,Health,Food_and_Related_Products,Investing,Marketing_and_Advertising,Home
28,5,3,5.6,2/17/12,The Last Lid,a universal garbage can lid ,YES,"Mark, Daymond, Kevin, Lori, Robert",Computers,Home,Healthcare,Environment,Investing,Science
28,5,3,5.6,2/17/12, Ledge Pillow,a pillow for woman with large breasts ,NO,"Mark, Daymond, Kevin, Lori, Robert",Health,Arts,Arts_and_Entertainment,Information_Technology,Textiles_and_Nonwovens,Home
28,5,3,5.6,2/17/12, Talbott Teas,premium teas ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Business,Food_and_Related_Products,Hospitality,Telecommunications,Recreation
28,5,3,5.6,2/17/12, M3 Girl Designs,a jewelry line for kids ,YES,"Mark, Daymond, Kevin, Lori, Robert",Arts,Home,Consumer_Goods_and_Services,Arts_and_Entertainment,Retail_Trade,Business
29,6,3,5.8,2/24/12,Five Minute Furniture,an easy-assembly furniture line ,NO,"Mark, Daymond, Kevin, Lori, Robert",Business,Home,Consumer_Goods_and_Services,Business_Services,Materials,Recreation
29,6,3,5.8,2/24/12, The Painted Pretzel,a candy pretzel business ,YES,"Mark, Daymond, Kevin, Lori, Robert",Business,Home,Hospitality,Opportunities,Food_and_Related_Products,Health
29,6,3,5.8,2/24/12, Esso Watches,a wristwatch with alleged health benefits ,NO,"Mark, Daymond, Kevin, Lori, Robert",Health,Society,Construction_and_Maintenance,Information_Technology,Healthcare,Home
29,6,3,5.8,2/24/12, Readerest Specsecure,a magnet that allows you to attach your glasses to your shirt so you won't lose them ,YES,"Mark, Daymond, Kevin, Lori, Robert",Home,Computers,Marketing_and_Advertising,Information_Technology,Investing,Health
30,7,3,5.6,3/2/12,Kisstixx,flavored mix-and-match lip balms ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Health,Home,Marketing_and_Advertising,Cooperatives,Healthcare,Society
30,7,3,5.6,3/2/12, The Smart Baker,a line of home baking products ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Home,Business,Food_and_Related_Products,Materials,Construction_and_Maintenance,Computers
30,7,3,5.6,3/2/12, The Heat Helper,a laundry dryer heat-recycling device ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Business,Healthcare,Construction_and_Maintenance,Industrial_Goods_and_Services,Computers
30,7,3,5.6,3/2/12, Technology Enabled Clothing,clothing designed for portable electronics ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Business,Consumer_Goods_and_Services,Electronics_and_Electrical,Retail_Trade,Science
31,8,3,5.1,3/9/12,The Original Profender,a basketball training device ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Computers,Healthcare,Arts_and_Entertainment,Telecommunications,Business
31,8,3,5.1,3/9/12, Nardo's Natural,a line of skin care products ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Health,Business,Healthcare,Consumer_Goods_and_Services,Textiles_and_Nonwovens,Home
31,8,3,5.1,3/9/12, Rent-A-Grandma,a babysitting service staffed by older women ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Society,Retail_Trade,Environment,Industrial_Goods_and_Services,Business
31,8,3,5.1,3/9/12, Litter,a line of body jewelry ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Health,Consumer_Goods_and_Services,Healthcare,Environment,Recreation
32,9,3,5.9,3/16/12,Tower Paddle Boards,a paddle board company ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Sports,Business,Consumer_Goods_and_Services,Agriculture_and_Forestry,Marketing_and_Advertising,Recreation
32,9,3,5.9,3/16/12, Instant Lifts,clear adhesives that improve the look of sagging skin ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Health,Business,Investing,Textiles_and_Nonwovens,Marketing_and_Advertising,Home
32,9,3,5.9,3/16/12, Vinamor,a wine aerator ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Science,Recreation,Food_and_Related_Products,Consumer_Goods_and_Services,Electronics_and_Electrical,Home
32,9,3,5.9,3/16/12, MisoMedia,software for learning to play instruments ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Computers,Science,Healthcare,Investing,Telecommunications,Games
33,10,3,5.7,3/23/12,The Ave Venice,customized shoe designs ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Business,Arts,Consumer_Goods_and_Services,Textiles_and_Nonwovens,Agriculture_and_Forestry,Computers
33,10,3,5.7,3/23/12, Bark’em’s To Go,pet food packaged to-go ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Health,Food_and_Related_Products,Hospitality,Consumer_Goods_and_Services,Recreation
33,10,3,5.7,3/23/12, Brewer’s Cow,beer flavored ice cream ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Home,Food_and_Related_Products,Hospitality,Arts_and_Entertainment,Sports
33,10,3,5.7,3/23/12, GoGo Gear,fashionable motorcycle and scooter protective riding apparel ,YES,"Mark, Daymond, Kevin, Barbara, Robert",Recreation,Sports,Automotive,Textiles_and_Nonwovens,Consumer_Goods_and_Services,Business
34,11,3,5.4,4/13/12,Blondies Cookies,a cookie business ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Home,Business,Food_and_Related_Products,Opportunities,Arts_and_Entertainment,Computers
34,11,3,5.4,4/13/12, ViewSport,T-Shirts with designs that appear when in contact with water ,NO,"Mark, Daymond, Kevin, Barbara, Robert",Arts,Home,Marketing_and_Advertising,Information_Technology,Consumer_Goods_and_Services,Computers
